product_code,product_name,category_code,sub_category_code,brand_code,hsn_code,uom_code,length,width,height,weight,status,specification
BULK-PROD-001,Bulk Commercial Item #001,MAC,SUB-BAND,BR-INH,84223000,PCS,11,11,11,0.9,active,Bulk import verification specification for item #001
BULK-PROD-002,Bulk Commercial Item #002,ING,SUB-CITRIC,BR-FBQ,29181400,KG,12,12,12,1.3,active,Bulk import verification specification for item #002
BULK-PROD-003,Bulk Commercial Item #003,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,13,13,13,1.7,active,Bulk import verification specification for item #003
BULK-PROD-004,Bulk Commercial Item #004,PMP,,BR-OSS,84137090,PCS,14,14,14,2.1,active,Bulk import verification specification for item #004
BULK-PROD-005,Bulk Commercial Item #005,MAC,SUB-BAND,BR-INH,84223000,PCS,15,15,15,2.5,active,Bulk import verification specification for item #005
BULK-PROD-006,Bulk Commercial Item #006,ING,SUB-CITRIC,BR-FBQ,29181400,KG,16,16,16,2.9,active,Bulk import verification specification for item #006
BULK-PROD-007,Bulk Commercial Item #007,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,17,17,17,3.3,active,Bulk import verification specification for item #007
BULK-PROD-008,Bulk Commercial Item #008,PMP,,BR-OSS,84137090,PCS,18,18,18,3.7,active,Bulk import verification specification for item #008
BULK-PROD-009,Bulk Commercial Item #009,MAC,SUB-BAND,BR-INH,84223000,PCS,19,19,19,4.1,active,Bulk import verification specification for item #009
BULK-PROD-010,Bulk Commercial Item #010,ING,SUB-CITRIC,BR-FBQ,29181400,KG,20,20,20,4.5,active,Bulk import verification specification for item #010
BULK-PROD-011,Bulk Commercial Item #011,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,21,21,21,4.9,active,Bulk import verification specification for item #011
BULK-PROD-012,Bulk Commercial Item #012,PMP,,BR-OSS,84137090,PCS,22,22,22,5.3,active,Bulk import verification specification for item #012
BULK-PROD-013,Bulk Commercial Item #013,MAC,SUB-BAND,BR-INH,84223000,PCS,23,23,23,5.7,active,Bulk import verification specification for item #013
BULK-PROD-014,Bulk Commercial Item #014,ING,SUB-CITRIC,BR-FBQ,29181400,KG,24,24,24,6.1,active,Bulk import verification specification for item #014
BULK-PROD-015,Bulk Commercial Item #015,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,25,25,10,6.5,active,Bulk import verification specification for item #015
BULK-PROD-016,Bulk Commercial Item #016,PMP,,BR-OSS,84137090,PCS,26,26,11,6.9,active,Bulk import verification specification for item #016
BULK-PROD-017,Bulk Commercial Item #017,MAC,SUB-BAND,BR-INH,84223000,PCS,27,27,12,7.3,active,Bulk import verification specification for item #017
BULK-PROD-018,Bulk Commercial Item #018,ING,SUB-CITRIC,BR-FBQ,29181400,KG,28,28,13,7.7,active,Bulk import verification specification for item #018
BULK-PROD-019,Bulk Commercial Item #019,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,29,29,14,8.1,active,Bulk import verification specification for item #019
BULK-PROD-020,Bulk Commercial Item #020,PMP,,BR-OSS,84137090,PCS,30,10,15,8.5,active,Bulk import verification specification for item #020
BULK-PROD-021,Bulk Commercial Item #021,MAC,SUB-BAND,BR-INH,84223000,PCS,31,11,16,8.9,active,Bulk import verification specification for item #021
BULK-PROD-022,Bulk Commercial Item #022,ING,SUB-CITRIC,BR-FBQ,29181400,KG,32,12,17,9.3,active,Bulk import verification specification for item #022
BULK-PROD-023,Bulk Commercial Item #023,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,33,13,18,9.7,active,Bulk import verification specification for item #023
BULK-PROD-024,Bulk Commercial Item #024,PMP,,BR-OSS,84137090,PCS,34,14,19,10.1,active,Bulk import verification specification for item #024
BULK-PROD-025,Bulk Commercial Item #025,MAC,SUB-BAND,BR-INH,84223000,PCS,35,15,20,10.5,active,Bulk import verification specification for item #025
BULK-PROD-026,Bulk Commercial Item #026,ING,SUB-CITRIC,BR-FBQ,29181400,KG,36,16,21,10.9,active,Bulk import verification specification for item #026
BULK-PROD-027,Bulk Commercial Item #027,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,37,17,22,11.3,active,Bulk import verification specification for item #027
BULK-PROD-028,Bulk Commercial Item #028,PMP,,BR-OSS,84137090,PCS,38,18,23,11.7,active,Bulk import verification specification for item #028
BULK-PROD-029,Bulk Commercial Item #029,MAC,SUB-BAND,BR-INH,84223000,PCS,39,19,24,12.1,active,Bulk import verification specification for item #029
BULK-PROD-030,Bulk Commercial Item #030,ING,SUB-CITRIC,BR-FBQ,29181400,KG,10,20,10,12.5,active,Bulk import verification specification for item #030
BULK-PROD-031,Bulk Commercial Item #031,CHM,SUB-CAUSTIC,BR-YLM,28151100,KG,11,21,11,12.9,active,Bulk import verification specification for item #031
BULK-PROD-032,Bulk Commercial Item #032,PMP,,BR-OSS,84137090,PCS,12,22,12,13.3,active,Bulk import verification specification for item #032
